"NAME of Museum/Art Organization/Institution. Or REGION, MUSEUM TYPE, or # OF EMPLOYEES AT ORG (all museum types, profit/non-profit galleries, sizes, countries, warmly welcomed)",Role ,Department,City,Country,Starting salary ,Year of starting salary ,Current (2019) or Ending Salary,Hourly (H) /  Permanent (P) / Contingent/Finite Term Employment (C) ,"If part-time / Hourly (H) / Contingent/Finite Term Employment (C), how many hours/week",Benefits?,"Year this salary was current (if a current salary, put 2019)",Years of experience in field at time of current salary listed,Parental leave policy at organization (+ who is eligible),"Optional: Identify your gender or preferred pronouns--ND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Optional: Identify your race with your preferred designation AND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Degrees required for position when hired/If applicable, if institution helped pay for furthering your education",Visa sponsorship paid/facilitated by organization,Notes
"[Pacific Northwest, Art Museum, 80]",Grants Manager,Development,Anchorage,United States,"55,000",2015,"55,000",H,32,"Insurance, retirement ",2019,11,6 weeks,F,White,"BA, no",no,
[Mid-sized art museum],Grant Writer,Development,Boston,USA,"35,000",2017,"37,500",P,(H) 20 hours/wk,paid time off only,2019,12,,F,,,,
[Mid-sized Museum ],Curator of design ,Curatorial,New York,Usa,"90,000","$2,017.00 ","90,000",,,"Health, dental and 401k",2019,12,,F,White,MA,,
New Museum ,Associate Curator ,Curatorial ,New York,United States,"$39,000.00 ","$2,013.00 ","$75,000.00 ",P,,,2019,12,New Museum,F,Caucasian ,,Yes,
"[For-profit, Philadelphia]",Associate Director,,Philadelphia,US,$15/hr,"$2,006.00 ",$26.40/hr + commissions,"Hourly, Permanent",25–30,"Health, Vision, Dental, flexible time off",2019,13,No policy in place,F,White,B.A.,None so far,
Cantor Arts Center,Curatorial Fellow,African Art,Stanford,United States,"65,000","$2,017.00 ","68,000",C,40,"Yes, excellent",2018,13,,F,White,"PhD coursework, institution paid for education",,
[Large Natural History Museum],Conservator,Conservation,Northeast,USA,58000,2015,84450,P,,Yes,2019,14,All,F,Caucasian,,,
Metropolitan Museum of Art,Assistant Curator ,Curatorial,New York,US,"$63,000.00 ",,"$63,000.00 ",P,,Y,2019,14,,F,W,PhD,,
Metropolitan Museum of Art,Assistant Research Curator,,,,"25,324",2007,"53,622",,,Y,2019,14,,F,white,MA,,
[Metropolitan Museum of Art],Editor (freelance),Publications and Editorial,NYC,USA,$42 per hour,2014,$42 per hour,hourly/contingent,40+ hours during projects; zero between,none,2019,15,n/a,F,white,MA,,
[Midsize non-Smithsonian dc],Volunteer Manager,Visitor Experience,,US,"$40,000 ",,"$42,000 ",P,,,2019,15,,F,White,,,
El Paso Museum of History,Community Engagement Coordinator,Education,El Paso,United States,"41,000","$2,014.00 ","43,000",P,,"Health, dental, vision, retirement",2018,16,Unknown,F,W,Master of Art,No,"City museum, all positions are contract"
[Art Museum in the Southeast],Educator,Education,,USA,"28,000","$2,004.00 ","42,750",P ,,"3% 403b match, decent health insurance",2019,17,,f,c,BA,,
Arkansas History Museum,PR Specialist,Development,Little Rock,United States,"$31,000 ","$2,002.00 ","$45,100 (2012) ",P,,Medical Insurance,2012,17,,F,W,Bachelors,,"State governance resulted multiple ""official"" titles for this position: PR Specialist, Public Information officer and classified as a Program Manager. As THE person in charge of communications and marketing for the institution, the titles erroneously portrayed a lower level position and resulted in lower pay as well as resume discrepancy as it doesn't correctly convey ""progressive growth"" in the field."
"[Private Art (craft) Museum, LA County, 15 employees]",Collections Manager ,"Permanent collection, 10k+ ","Los Angeles County, ",USA ,"$22/hr, 30 hours/wk",2016,"$23.50/hr, 30 hours/week ","H, P",30,"50% health insurance, no dental/vision",2019,18,No,F,Caucasian ,"None, no assistance ",No,I really love this job but I qualify for food stamps and low income housing assistance. I have an MA. My institution will likely fail financially in the next 5 years. 
[300 employees],conservator,collection care,Auckland,New Zealand,"66,625",2009,"80,398",P,,"sick leave, bereavement leave, volunteering leave, family leave, wellness program, funding for professional development,... (government funded universal health care)",2019,20,"job held for a year, 40% of salary paid for 4 months, both parents eligible",F,white,Master's,no,
[Museum (less than 100 FTE)],Librarian,,,Singapore,"48,000","$2,017.00 ","56,000",P,,"Medical, dental, flexi time, reimburse for CE courses",2019,20,"yes, mothers and fathers",F,,Bachelor's,Yes,
"[Non-profit arts organization, gallery, 1.5 to 2]",executive director,,Southeast,USA,"48,000","$2,017.00 ","48,000",contract,,No,2019,20,NA,F,,NA - but MA or MFA preferred,NO,"very flexible schedule, with some work remote days"
"[Non-profit,  ~22 employees]",Manager ,Publications,New York,United States,"73,000","$2,014.00 ","75,000",,,"401K w/1% employer match, health, dental, vision",2019,20,12 weeks,F,,,,
[Private Museum within larger non-profit],Senior Curator,MUSEUM,NYC,USA,"$58,000 ",2003,"$97,000 ",P,,Yes,2019,20,N/A,F,White/Latina,Ph.D.,,
[Regional Museum],Director of Collections,Collections,Northern Virginia,United States,"$54,900 ",2018,,P,,Yes,2018,20,,F,,MA,,
New York Transit Museum,curator,curatorial,Brooklyn,USA,"55,000",1998,"68,000",p,"c,30",yes,2019,20,yes,f,Caucasian,MA,no,"Two class system rules: museum salaries have 2 tiers. MTA employees make good wages, regular raises, full pension, etc. Museum 501(c)3 employees earn much less, seldom see raises and have no pension. Per NYS law, all but per diem get health coverage. Thus an experienced curator makes less than a subway operator."
"[Washington, DC]",Registrar,,"Washington, DC",United States,"$75,000 ",2018,"$75,000 ",P,,Yes,2019,22,,F,,MA,,
Texas State History Museum,External Affairs,Executive (Director's staff),Austin,USA,"47,000",2011,"47,000 (lef position  2011)",P,,yes,2011,23,no paternity leave,F,Caucasian,Masters,,
[Midwest Historic Site 75+ employees],"director of collections, archives, and conservation",material culture,metro detroit,USA,"$68,500.00 ","$2,016.00 ","$75,000.00 ",P,,Yes,2019,24,FMLA,F,C,MA ,,
National Art Museum of Moldova,"museographer, conservator,curator, collection  manager",Decorative arts and Sculpture collection,Chisinau,Republic of Moldova,100$,"$1,990.00 ",200$,P ,40 hours,no,2019,29,,F,,higher,no,
Hirshhorn Museum & Sculpture garden,matter-framer,conservation,washington,d.c.,"48,108",2008,"72,842",p,,yes,2019,30,don;t know,f,caucasian,n/a,n/a,
[intentionally left blank],Curatorial Assistant,Curatorial,Hong Kong,China,"15,000 HK$",2016,"19,000 HK$",P,,,,0-2,,F,,,,
[Mid Atlantic Small Nonprofit (Staff of 2)],Executive Director,,,United States,"$55,000 ",2018,"$60,000 ",(P),,None,2019,1 year,,F,,,,
Parkett,Senior editor/Executive editor,Editorial,New York,US,"36,000",2012,"54,000",P,,"Started with Oxford health insurance, but gave it up for salary increase",2017,15 years as art editor (also 2 years as curator),,F,White,,,Worked from home
[DC Area Private Nonprofit Museum],Volunteer Manager,Guest Services,"Washington, DC",USA,68000,2018,68000,P,,"Yes (health, vision, dental)",2019,2 + Master's in Museum Studies,,F,White,"BA, MA preferred",,
[Mid-Size Museum in Pennsylvania],Executive Director ,Admin,,US,,,"76,000",Permanent,,Health (employee only),2019,28 museum/13 director level ,,F,C,,,
Metropolitan Museum of Art,Imaging Director,Digital,NYC,USA,$32/hr,,"82,000",P (started as hourly and PT),,Full / Partial benefits when part-time,2016,"7 years when hired, 23 years when left",,F,White,,,
[Art Museum - Tennessee],Graphic Design,Communications,,,13,2017,13.86,H,40,"Health Insurance, retirement match, local discounts, pto ",2019,7+,TMLA + FMLA (Female job held up to 16 weeks),F,,,,
Artforum,Associate editor,Editorial,New York,USA,"~70,000 (base salary + biannual bonuses)",2006-08,,P,,Oxford health insurance,,9 years as art book editor,,F,White,,,Paid travel to some biennials and art fairs; reimbursement for work-related taxis and meals
[Large encyclopedic museum],Executive Assistant,,,USA,40000,2017,59500,P,,,,,,F,White,,,
[Large museum],Paintings Conservator,Conservation ,,Norway ,"$54,000 ",2017,"$57,000 ",C,"37,5",,2019,,10 months ,F,,"MA, no further education offered",No,
[Mid-sized museum in South Texas],Collections Manager,Collections,,US,"$38,000.00 ",,"$38,000.00 ",P,,,x,,None (unpaid FMLA only),F,White,,,
[Mid-sized museum in the Southwest],Assistant Registrar,Registration,,US,"$27,300.00 ",,"$34,983.00 ","H, P",,,2019,,None (unpaid FMLA only),F,White,,,
[Midsized Historic House in California],Collections Professional,Collections/Curatorial,,US,"$38,000.00 ",,"$45,000.00 ","P,H full time",,,2019,,,F,,,,
"[National historic site, 60+ employees, 400k+ visitors]",Curator,curatorial,,US,"$57,000.00 ",,,p,,,2019/current,,"good benefits package, have not asked about family or maternity due to ""child free""",f,w,,,my fourth and current job
"[Private University in NJ, USA.]","Director, reports to Library",Library,New Jersey,USA,"$55,000 ",,"$66,500 ",P,,Tuition paid if I take courses at work,2019,,,F,White,"BA, MA and two certificates + lots of professional development courses and training.   ",,"Degrees: BA, MA and two certificates + lots of professional development courses and training.   Tuition paid if I take courses at work.  Thank you!!!"
"[Small County Museum, TX - 2 ft, 2 pt staff]",curator/education/exhibits,"""everything"".",,US,"$19,000.00 ",,"$27,000.00 ",p,,,2010-2013,,"no benefits, no medical insurance",f,w,,,my second museum job.  my first was PT @ $9/hr while in grad school
"[Small Regional Museum, TX - 8 staff when I started, got as low as 3]",curator/exhibit designer,curatorial,,US,"$35,000.00 ",,"$37,000.00 ",p,,,2013-2018,,"medical and 401k, 1 wk vacation",f,w,,,"my third museum job.  worked tremendous overtime & numerous ""other duties as assigned"".  offered 8 percent raise when I expressed interest in leaving"
Freelance Photographer,Arts Reproduction Photographer,,NYC,USA,,,$1800/day,Freelance,,No benefits,2019,,No,F,White,,,
Glass art museum - Southeast Region,Database Coordinator,Development,,US,"$36,000.00 ",,"$37,080.00 ",P,,,2019,,None,F,,,,
MASS MoCA,Senior Intern,Education Dept,North Adams,MA,$100 / week,2013,,Finite term (12 months),40-60 hours/ week,none,2013,,,F,white,bachelor's degree req,,
Metropolitan Museum of Art,Education/Public Programs,,,US,"$55,000.00 ",,"$55,000.00 ",,,,2018,,,F,POC,,,
MoMA,Fellow in Conservation,Conservation,New York,US,45000,2018,49000,C,35 hrs/week,"Yes + research stipend ($3,775/year)",2019,,,F,White,Msc / didn't help pay,,
Philadelphia Museum of Art ,Academic Engagement Coordinator,,,US,"$45,000.00 ",,"$46,000.00 ",C,,"health, dental, etc.",2019,,,F,,"Ph.D. preferred, per original job posting",,
"The Ringling (Sarasota, FL) ",Coordinator of Youth & Family Programs,Education,,US,"$35,000.00 ",,,"full time, salaried",,,2015,,,F,White,,,
Whitney Museum of American Art,Education Manager,Education,NYC,US,"$56,000.00 ",,"$62,500.00 ",P,,,2019,,,F,White,,,
Museum of Arts and Design,Teen Programs Manager,Education,New York,USA,"$42,000 ",2013,"$49,000 ",P,,Yes,2015,8,unknown,F ,W,"bachelor's required, advance degree preferred. No financial support for professional development, but flexible scheudule",n/a,
[LARGE Art Museum],Registrar,Registrar,New York City,USA,"$55,000.00 ","$2,018.00 ","$59,000.00 ",C,"C, 40 hrs/wk","Health, Dental, Vision, 401K, Life",2019,3,3 months for mothers,F - she/her,Hispanic,MA acquired. Museum helps pay for further education.,,
[West Coast Art Non-Profit],Curatorial Assistant,Curatorial and Administration,Outer Los Angeles,USA,"$45,000 ","$2,018.00 ","$45,000 ",C,40,No,2019,3,No,F - She/Her,Causasian,"MA, No",No,
[Academic Gallery],Director,,Seattle,United States,"$50,000 ","$2,017.00 ","$54,000 ",,Full time,Yes,2019,20,,F (she/her),White,MA,,
Spencer Museum of Art,Curatorial Intern / Graduate Research Asst. ,Curatorial,KS,USA,"13,000",2009,,C,20-30,healthcare rebate,2012,0,,F (she/her/hers),"white, non-latinx","BA, tuition discount",,A rare and valuable paid internship
[Science Center],senior exhibit developer,exhibits,Portland,USA,"33,000",2010,"57,000",P,,Y,2019,11,Y,F she/her,asian,Bachelor's,,
[Science Center],senior exhibit developer,exhibits,Portland,USA,"33,000",2010,"57,000",P,,Y,2019,11,Y,F she/her,asian,Bachelor's,,
9/11 Memorial & Museum,Production Coordinator,Exhibitions,New York,United States,"$50,000 ",2017,"$59,670 ",P,,Yes,2019,6,"both parents, I believe 3 months","f, she",white,,No,
MFA Houston,Giftstore salesperson,,Houston,,$9/hour,,$9/hour ,H,20,Health,2017,6,N/A,"F, she",white,none,N/A,One of the worst jobs I've ever had. Very poor management and very elitist institution. 
Art Institute of Chicago,Assistant Director,External Affairs,Chicago,USA,"51,000","$2,018.00 ","51,000",P,,,2019,,,"F, she, her, hers",White,,,
[Non-profit Wisconsin children's museum],Volunteer Coordinator,Education,,United States,$14 ,"$2,018.00 ",$15.50 ,H/P,,"Healthcare, dental, life",2019,5,,"F/she, her, hers",,,,
The Metropolitan Museum of Art,Graphic Designer,Design,New York,USA,"67,000",2014,"78,000",P,,Yes,2019,7,Yes,Femail,White,Bachelor of Graphic Design,Yes,
[suburb non-profit local history museum],director/curator,,,USA,"45,000",2013,"47,000",,Contractual ,no,2019,13,no,femail,Latinx,PhD when hired but not required ,,
"The Huntington Library, Art Collections, and Botanical Gardens",Sales,Membership,San Marino,USA,$12.00 per hour,2001,$24.00 per hour,full time hourly /P,,many,2019,30,3 months off,Femail,White,na,na,
Fort Worth Aviation Museum, Director of Operations,Admin,Fort Worth,USA,"$32,000.00 ",,"$36,000.00 ",,,,2019,5,None,Femaile,White,M.A. Museum Science,,Only paid employee
[Mid-size Art Museum],Registrar,Museum Services,Vancouver,Canada,"$55,000 CAD",2002,"$68,000 CAD",P,,YEs,2019,17,Yes; everyone,Femaile,Caucasian,Masters,,
[Art Museum/Florida] ,Experiences Assistant ,Experiences ,Orlando,US,9,2018,9,Hourly ,Part-time ,No,2019,0,,Female,Caucasian,High School Diploma,,
[Kunstverein],intern,,Berlin,Germany,"2,5 €/h ","$2,017.00 ","2,5 €/h ",C (6 month),40,none,2017,0,,Female,white,BA,,
[Mid-size Mid-Atlantic Art Museum],Education Assistant,Education,Baltimore,USA,11/hr,2017,11/hr,H,"Up to 20, Usually ~12",,2018,0,,Female,White,Bachelor's preferred,,"There was very little room for advancement. The last woman to become full-time had worked at my level for 4 years before reaching full-time. While a degree was not required, many women at the time had Master's degrees."
[Non-Profit local museum],Curator,,"Eureka, CA",USA,$13.50/hour,"$2,017.00 ",$15/hour,Hourly Permanent,40 hours/week,no,2019,0,,Female,White,Bachelors,,
"[NYC, Major Auctionhouse]",Client Services Representative,Client Services,New York,USA,$15/hr,2019,$15/hr,C,Contingent on current sales and exhibitions,None,2019,0,,Female,,,,Temporary Position; $15/hr is minimum wage in NYC
"[Regional Art Museum, Pacific Northwest, (20 FTE)]",Development Coordinator,Development,,USA,"$26,500 ","$2,018.00 ","$27,500 ",H,30,"Sick time, nothing else",2019,0,"FMLA, Full-time employees",Female,White,BA,N/A,
[Small historic house museum in the Midwest],"Curator, Director of Programs",Education,,USA,"$37,500 ",2014,"$40,000 ",P,,None,2019,0,"3 weeks paid plus any FMLA, salaried eligible only",Female,White,"BA, Communication",,
